Location,Cases,Deaths,Date,Region,Year
ALBAY,10,0,13/01/2019,REGION V-BICOL REGION,2019
ALBAY,18,0,20/01/2019,REGION V-BICOL REGION,2019
ALBAY,15,0,27/01/2019,REGION V-BICOL REGION,2019
ALBAY,21,0,3/2/2019,REGION V-BICOL REGION,2019
ALBAY,12,1,10/2/2019,REGION V-BICOL REGION,2019
ALBAY,5,0,17/02/2019,REGION V-BICOL REGION,2019
ALBAY,3,0,24/02/2019,REGION V-BICOL REGION,2019
ALBAY,13,0,3/3/2019,REGION V-BICOL REGION,2019
ALBAY,8,0,10/3/2019,REGION V-BICOL REGION,2019
ALBAY,12,0,17/03/2019,REGION V-BICOL REGION,2019
ALBAY,14,1,24/03/2019,REGION V-BICOL REGION,2019
ALBAY,13,2,31/03/2019,REGION V-BICOL REGION,2019
ALBAY,14,0,7/4/2019,REGION V-BICOL REGION,2019
ALBAY,6,0,14/04/2019,REGION V-BICOL REGION,2019
ALBAY,6,1,21/04/2019,REGION V-BICOL REGION,2019
ALBAY,7,0,28/04/2019,REGION V-BICOL REGION,2019
ALBAY,4,0,5/5/2019,REGION V-BICOL REGION,2019
ALBAY,14,0,12/5/2019,REGION V-BICOL REGION,2019
ALBAY,6,1,19/05/2019,REGION V-BICOL REGION,2019
ALBAY,10,0,26/05/2019,REGION V-BICOL REGION,2019
ALBAY,13,0,2/6/2019,REGION V-BICOL REGION,2019
ALBAY,15,0,9/6/2019,REGION V-BICOL REGION,2019
ALBAY,34,2,16/06/2019,REGION V-BICOL REGION,2019
ALBAY,52,1,23/06/2019,REGION V-BICOL REGION,2019
ALBAY,52,2,30/06/2019,REGION V-BICOL REGION,2019
ALBAY,69,0,7/7/2019,REGION V-BICOL REGION,2019
ALBAY,83,1,14/07/2019,REGION V-BICOL REGION,2019
ALBAY,76,0,21/07/2019,REGION V-BICOL REGION,2019
ALBAY,72,0,28/07/2019,REGION V-BICOL REGION,2019
ALBAY,83,1,4/8/2019,REGION V-BICOL REGION,2019
ALBAY,79,0,11/8/2019,REGION V-BICOL REGION,2019
ALBAY,58,1,18/08/2019,REGION V-BICOL REGION,2019
ALBAY,63,0,25/08/2019,REGION V-BICOL REGION,2019
ALBAY,77,1,1/9/2019,REGION V-BICOL REGION,2019
ALBAY,84,3,8/9/2019,REGION V-BICOL REGION,2019
ALBAY,80,1,15/09/2019,REGION V-BICOL REGION,2019
ALBAY,73,0,22/09/2019,REGION V-BICOL REGION,2019
ALBAY,43,0,29/09/2019,REGION V-BICOL REGION,2019
ALBAY,45,1,6/10/2019,REGION V-BICOL REGION,2019
ALBAY,32,1,13/10/2019,REGION V-BICOL REGION,2019
ALBAY,25,0,20/10/2019,REGION V-BICOL REGION,2019
ALBAY,18,0,27/10/2019,REGION V-BICOL REGION,2019
ALBAY,27,1,3/11/2019,REGION V-BICOL REGION,2019
ALBAY,18,0,10/11/2019,REGION V-BICOL REGION,2019
ALBAY,32,0,17/11/2019,REGION V-BICOL REGION,2019
ALBAY,8,0,24/11/2019,REGION V-BICOL REGION,2019
ALBAY,16,0,1/12/2019,REGION V-BICOL REGION,2019
ALBAY,11,0,8/12/2019,REGION V-BICOL REGION,2019
ALBAY,18,1,15/12/2019,REGION V-BICOL REGION,2019
ALBAY,12,0,22/12/2019,REGION V-BICOL REGION,2019
ALBAY,8,0,29/12/2019,REGION V-BICOL REGION,2019
BASILAN,5,0,13/01/2019,BARMM,2019
BASILAN,14,0,20/01/2019,BARMM,2019
BASILAN,4,0,27/01/2019,BARMM,2019
BASILAN,13,0,3/2/2019,BARMM,2019
BASILAN,10,0,10/2/2019,BARMM,2019
BASILAN,8,0,17/02/2019,BARMM,2019
BASILAN,4,0,24/02/2019,BARMM,2019
BASILAN,4,0,3/3/2019,BARMM,2019
BASILAN,11,0,10/3/2019,BARMM,2019
BASILAN,7,0,17/03/2019,BARMM,2019
BASILAN,4,0,24/03/2019,BARMM,2019
BASILAN,6,0,31/03/2019,BARMM,2019
BASILAN,7,0,7/4/2019,BARMM,2019
BASILAN,18,0,14/04/2019,BARMM,2019
BASILAN,11,0,21/04/2019,BARMM,2019
BASILAN,7,1,28/04/2019,BARMM,2019
BASILAN,16,0,5/5/2019,BARMM,2019
BASILAN,13,0,12/5/2019,BARMM,2019
BASILAN,10,0,19/05/2019,BARMM,2019
BASILAN,21,0,26/05/2019,BARMM,2019
BASILAN,23,0,2/6/2019,BARMM,2019
BASILAN,13,0,9/6/2019,BARMM,2019
BASILAN,9,0,16/06/2019,BARMM,2019
BASILAN,13,0,23/06/2019,BARMM,2019
BASILAN,19,0,30/06/2019,BARMM,2019
BASILAN,15,0,7/7/2019,BARMM,2019
BASILAN,16,0,14/07/2019,BARMM,2019
BASILAN,31,0,21/07/2019,BARMM,2019
BASILAN,39,0,28/07/2019,BARMM,2019
BASILAN,25,1,4/8/2019,BARMM,2019
BASILAN,23,0,11/8/2019,BARMM,2019
BASILAN,11,1,18/08/2019,BARMM,2019
BASILAN,5,0,25/08/2019,BARMM,2019
BASILAN,10,0,1/9/2019,BARMM,2019
BASILAN,24,0,8/9/2019,BARMM,2019
BASILAN,26,0,15/09/2019,BARMM,2019
BASILAN,3,0,22/09/2019,BARMM,2019
BASILAN,8,0,29/09/2019,BARMM,2019
BASILAN,7,0,6/10/2019,BARMM,2019
BASILAN,8,0,13/10/2019,BARMM,2019
BASILAN,11,0,20/10/2019,BARMM,2019
BASILAN,11,0,27/10/2019,BARMM,2019
BASILAN,11,0,3/11/2019,BARMM,2019
BASILAN,7,0,10/11/2019,BARMM,2019
BASILAN,9,0,17/11/2019,BARMM,2019
BASILAN,4,0,24/11/2019,BARMM,2019
BASILAN,6,0,1/12/2019,BARMM,2019
BASILAN,6,0,8/12/2019,BARMM,2019
BASILAN,6,0,15/12/2019,BARMM,2019
BASILAN,5,0,22/12/2019,BARMM,2019
BASILAN,3,0,29/12/2019,BARMM,2019
BUKIDNON,138,0,13/01/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,172,0,20/01/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,132,0,27/01/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,137,0,3/2/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,169,1,10/2/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,130,0,17/02/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,146,0,24/02/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,126,0,3/3/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,125,0,10/3/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,121,0,17/03/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,118,1,24/03/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,112,1,31/03/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,111,0,7/4/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,119,0,14/04/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,90,0,21/04/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,137,0,28/04/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,139,0,5/5/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,138,0,12/5/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,198,1,19/05/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,179,0,26/05/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,183,0,2/6/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,229,0,9/6/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,232,0,16/06/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,279,0,23/06/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,427,1,30/06/2019,REGION X-NORTHERN MINDANAO,2019
BUKIDNON,420,1,7/7/2019,REGION X-NORTHERN MINDANAO,2019
