Location,Cases,Deaths,Date,Region,Year
AKLAN,46,0,13/01/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,50,0,20/01/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,35,0,27/01/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,63,0,3/2/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,57,2,10/2/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,75,0,17/02/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,58,0,24/02/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,69,0,3/3/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,85,0,10/3/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,72,1,17/03/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,52,1,24/03/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,56,0,31/03/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,36,0,7/4/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,40,1,14/04/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,34,0,21/04/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,33,1,28/04/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,33,0,5/5/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,28,1,12/5/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,24,0,19/05/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,40,0,26/05/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,51,1,2/6/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,100,2,9/6/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,99,0,16/06/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,110,0,23/06/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,185,3,30/06/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,271,2,7/7/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,453,0,14/07/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,405,0,21/07/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,467,1,28/07/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,473,1,4/8/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,394,1,11/8/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,283,0,18/08/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,252,1,25/08/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,211,0,1/9/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,193,1,8/9/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,168,0,15/09/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,125,2,22/09/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,91,0,29/09/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,78,1,6/10/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,70,0,13/10/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,46,0,20/10/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,59,0,27/10/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,31,0,3/11/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,27,0,10/11/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,35,0,17/11/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,26,0,24/11/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,8,0,1/12/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,13,0,8/12/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,8,0,15/12/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,1,0,22/12/2019,REGION VI-WESTERN VISAYAS,2019
AKLAN,2,0,29/12/2019,REGION VI-WESTERN VISAYAS,2019
ANTIQUE,6,0,13/01/2019,REGION VI-WESTERN VISAYAS,2019
ANTIQUE,15,0,20/01/2019,REGION VI-WESTERN VISAYAS,2019
ANTIQUE,18,0,27/01/2019,REGION VI-WESTERN VISAYAS,2019
ANTIQUE,12,0,3/2/2019,REGION VI-WESTERN VISAYAS,2019
ANTIQUE,10,0,10/2/2019,REGION VI-WESTERN VISAYAS,2019
ANTIQUE,9,0,17/02/2019,REGION VI-WESTERN VISAYAS,2019
ANTIQUE,6,0,24/02/2019,REGION VI-WESTERN VISAYAS,2019
